Organization Name,Organization Name URL,Headquarters Location,Founded Date,Founded Date Precision,Industries,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Description,Website,X (Twitter),LinkedIn,Founders,Number of Funding Rounds,Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Lead Investors,Full Description
DualEntry,https://www.crunchbase.com/organization/dualentry,"New York, New York, United States",2024-01-01,year,"Accounting, Artificial Intelligence (AI), Enterprise Resource Planning (ERP)",2025-10-02,90000000,USD,90000000,DualEntry develops an AI-based accounting software for handling transactions for mid-market enterprises.,https://www.dualentry.com,https://x.com/dualentry,https://www.linkedin.com/company/dualentry,"Benedict Dohmen, Santiago Nestares",2,Series A,100000000,USD,100000000,"Lightspeed Venture Partners, Khosla Ventures, RTP Global, Soma Capital, Google Ventures","Contrary, Khosla Ventures, Lightspeed Venture Partners","DualEntry develops AI-based accounting software for handling transactions for mid-market enterprises. The product includes a unified general ledger, automation of repetitive workflows, multi-entity and multi-currency support, and integrations with many existing financial and operations-adjacent tools. DualEntry also offers what it calls “NextDay Migration,” which enables moving historical financial data from legacy accounting or ERP systems into its platform within ~24 hours, reducing implementation friction."
David,https://www.crunchbase.com/organization/david-6c93,"New York, New York, United States",2023-01-01,year,"Food and Beverage, Manufacturing, Nutrition",2025-05-29,75000000,USD,75000000,"David is a food-tech firm focused on creating high-protein, low-calorie, blood-sugar-friendly foods.",https://davidprotein.com,https://x.com/david_protein,https://www.linkedin.com/company/david-protein,"Eyas Kelani, Zach Ranen",2,Series A,85000000,USD,85000000,"Valor Equity Partners, Greenoaks, Valor Siren Ventures, Peter Rahal, Peter Attia","Greenoaks, Peter Rahal","David is a food-tech firm focused on creating high-protein, low-calorie, blood-sugar-friendly foods. It creates tools to build muscle and lose weight."
Model ML,https://www.crunchbase.com/organization/model-ml,"New York, New York, United States",2023-01-01,year,"Artificial Intelligence (AI), B2B, Financial Services, FinTech, Machine Learning",2025-11-24,75000000,USD,75000000,"Model ML provides AI tools that automate tedious tasks in finance, enabling firms to process deals and models more efficiently.",https://www.modelml.com,,https://www.linkedin.com/company/model-ml,"Arnie Englander, Chaz Englander",4,Series A,87500000,USD,87500000,"QED Investors, Y Combinator, Gaingels, Pioneer Fund, LocalGlobe","Financial Technology Partners, LocalGlobe, TresVista Ventures, Y Combinator","Model ML offers an AI-native workspace tailored for financial institutions such as investment banks, private equity firms, and consultancies. The company provides purpose-built AI agents that analyse structured and unstructured finance data, including emails, filings, CRM records, and third-party datasets, to automate research, reporting, and document generation. Its “AI Modules” feature enables users to design autonomous workflows that run continuously, generating deliverables like pitch decks or earnings summaries with embedded institutional formatting. The platform operates securely and supports single-tenant deployment in a client’s cloud environment to preserve data privacy and compliance."
Titan,https://www.crunchbase.com/organization/titan-5077,"New York, New York, United States",2024-01-01,year,"Artificial Intelligence (AI), Software, Web Development",2025-08-12,74000000,USD,74000000,Titan operates as an AI holding company focused on transforming IT services through its augmented AI platform.,https://titanmsp.ai,,https://www.linkedin.com/company/titanmsp,David Heffernan,1,Series A,74000000,USD,74000000,General Catalyst,General Catalyst,"Titan operates as an AI holding company focused on transforming IT services through its augmented AI platform. It acquires and partners with managed IT service firms, then equips their technicians with AI-driven agents that reduce response times, deliver proactive, personalized support, and bolster endpoint security. The platform also includes access to sales, marketing, finance, and operations experts, as well as strategic M&A capabilities to scale efficiently."
Manifest OS,https://www.crunchbase.com/organization/manifest-os,"New York, New York, United States",2025-01-01,year,"Artificial Intelligence (AI), Legal, Legal Tech",2026-04-28,60000000,USD,60000000,Manifest OS empowers AI-native law firms through a unified global brand and a proprietary technology platform.,https://manifestos.com,,https://www.linkedin.com/company/manifest-o-s,Daniel Mishin,1,Series A,60000000,USD,60000000,"Menlo Ventures, Kleiner Perkins, First Round Capital, Quiet Capital",Menlo Ventures,"Manifest OS is a legal technology company that provides infrastructure and operational support for law firms through a centralized platform and AI-based tools. The company offers services such as document drafting support, client communication management, billing, collections, and administrative operations, allowing attorneys to focus more on legal work. Its platform is designed to support law firms operating under a unified brand while maintaining independent legal practices. Manifest OS works with firms handling areas such as individual and corporate immigration law and provides fixed-fee and workflow management systems intended to improve transparency for clients. The company also employs teams across engineering, operations, legal operations, and product development to support its technology and service model."
Gambit Security,https://www.crunchbase.com/organization/gambit-security,"New York, New York, United States",2024-01-01,year,"Artificial Intelligence (AI), Cyber Security",2026-02-25,56000000,USD,56000000,Gambit Security is an AI-powered cybersecurity platform that focuses on enhancing company resilience against cyberattacks and disruptions.,https://gambit.security,,https://www.linkedin.com/company/gambitsecurity/,May Kogan,2,Series A,61000000,USD,61000000,"Kleiner Perkins, Cyberstarts, Spark Capital","Cyberstarts, Kleiner Perkins, Spark Capital","Gambit Security is an AI-powered cybersecurity platform that focuses on enhancing company resilience against cyberattacks, system failures, and disruptions."
Artemis,https://www.crunchbase.com/organization/artemis-5568,"New York, New York, United States",2025-01-01,year,"Artificial Intelligence (AI), Computer, Cyber Security, Network Security",2026-04-15,55000000,USD,55000000,Artemis is the first protective layer that is AI-native,https://artemissecurity.com,,https://www.linkedin.com/company/goartemis,"Dan Shiebler, Shachar Hirshberg",3,Series A,70000000,USD,70000000,"Felicis, First Round Capital, Sunflower Capital, Theory Ventures, Two Sigma Ventures","AWS & Crowdstrike Cybersecurity Accelerator, Brightmind Partners, Felicis, First Round Capital",Artemis is the first protective layer that is AI-native
Nous Research,https://www.crunchbase.com/organization/nous-research,"New York, New York, United States",2023-01-01,year,"Artificial Intelligence (AI), Blockchain, Open Source, Product Search",2025-04-25,50000000,USD,50000000,"Nous Research is a decentralized AI startup that focuses on developing open-source, human-centric artificial intelligence models and tools.",https://nousresearch.com,https://x.com/nousresearch,https://www.linkedin.com/company/nousresearch,"Jeffrey Quesnelle, Karan Malhotra, Ryan Teknium, Shivani Mitra",2,Series A,70000000,USD,70000000,"Paradigm, Robot Ventures, North Island Ventures, OSS Capital L.P., Balaji Srinivasan","Distributed Global, OSS Capital L.P., Paradigm","Nous Research is a decentralized AI startup that focuses on developing open-source, human-centric artificial intelligence models and tools. Its work encompasses large language model architecture, data synthesis, fine-tuning, and reasoning, aiming to align AI systems with real-world user experiences. In addition to model development, the organization emphasizes decentralized AI training. It utilizes blockchain technology, specifically the Solana network, to coordinate and incentivize global participation in training its AI models. This approach allows individuals worldwide to contribute idle computing power for AI training, promoting a more distributed and collaborative development process."
Adaptive Innovations,https://www.crunchbase.com/organization/adaptive-innovations-9ec9,"New York, New York, United States",2025-01-01,year,"Artificial Intelligence (AI), Health Care",2026-06-02,50000000,USD,50000000,"Adaptive Innovations is the AI-native healthcare provider rebuilding the way care is delivered in America, starting with home health.",https://www.adaptive.co,,,,2,Series A,60000000,USD,60000000,"BoxGroup, Conviction, Bain Capital Ventures, SV Angel, Felicis","Bain Capital Ventures, Felicis","Adaptive Innovations is the AI-native healthcare provider rebuilding the way care is delivered in America, starting with home health."
Radial,https://www.crunchbase.com/organization/radial-66dc,"New York, New York, United States",2023-01-01,year,"Health Care, Medical, Mental Health",2025-12-09,50000000,USD,50000000,Radial provides new medical treatments for mental conditions including treatments like neuromodulation and rapid acting medications.,https://meetradial.co,https://x.com/MeetRadial,https://www.linkedin.com/company/radial-health-inc/,John Capecelatro,2,Series A,57797992,USD,57797992,"General Catalyst, BoxGroup, Founder Collective, JSL Health Capital, Solari Capital",General Catalyst,
